Company,Sector,Date,index,Price,Open,High,Low,Change %,vol multiplier,Volume,Company Name,SubSector,Market Classification,Shares Outstanding,Market Cap
NB,CONSUMER GOODS,2000-05-18,4908,0.18,18.01,18.01,0.18,5.88%,1000000.0,75640000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-05-19,4907,0.19,18.78,18.78,0.19,5.56%,1000000.0,57640000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5886775114.8
NB,CONSUMER GOODS,2000-05-22,4906,0.18,18.4,0.18,0.18,-5.26%,1000000.0,89500000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-05-23,4905,0.18,18.4,0.18,0.18,0.00%,1000000.0,145590000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-05-24,4904,0.18,18.0,0.18,0.18,0.00%,1000000.0,80840000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-05-25,4903,0.18,18.0,0.18,0.18,0.00%,1000000.0,51390000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-05-26,4902,0.18,17.87,0.18,0.18,0.00%,1000000.0,81680000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-05-30,4901,0.18,17.61,0.18,0.18,0.00%,1000000.0,43900000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-05-31,4900,0.18,18.4,0.18,0.18,0.00%,1000000.0,169750000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
NB,CONSUMER GOODS,2000-06-01,4899,0.18,18.04,0.18,0.18,0.00%,1000000.0,61990000.0,NIGERIAN BREW. PLC.,Beverages--Brewers/Distillers,Main Board,30983026920.0,5576944845.599999
